Investiga;Id;Moneda;Precio;Unidades vendidas;Venta Diaria Promedio;IdSeller;Nickname;Stock;Exposicion;T. Oficial;Condición;Cuotas;Envío Gratis;Días publicados;Reputación;Ubicación;Envío Flex;Envío Full
Juego De Mesa El Camarero Maldón;MLA924668309;ARS;3330;500;7000;29693465;JUEGOSMALDON;68;Premium;Maldon;Nuevo;6;No;301;Platinum;Capital Federal;Si;Si
Juego De Mesa El Erudito Maldón;MLA924669969;ARS;5360;500;11300;29693465;JUEGOSMALDON;17;Premium;Maldon;Nuevo;6;Si;301;Platinum;Capital Federal;Si;Si
Juego De Mesa El Ilustrado Maldón;MLA924668610;ARS;5360;200;4400;29693465;JUEGOSMALDON;20;Premium;Maldon;Nuevo;6;Si;301;Platinum;Capital Federal;Si;Si
Juego De Mesa Pescadores Maldón;MLA924338255;ARS;3330;100;1200;478972008;DEMAVISIONCOMERCIALSRL;19;Premium; ;Nuevo;6;No;303;Platinum;Interior;No;Si
Juego De Mesa El Cinéfilo Maldón;MLA924669793;ARS;4730;100;1700;29693465;JUEGOSMALDON;19;Premium;Maldon;Nuevo;6;Si;301;Platinum;Capital Federal;Si;Si
Juego De Mesa Atenea Maldón;MLA924672084;ARS;4730;100;2000;29693465;JUEGOSMALDON;25;Premium;Maldon;Nuevo;6;Si;301;Platinum;Capital Federal;Si;Si
Juego De Mesa Va Y Viene 2021 Maldón;MLA1120081989;ARS;2879;3;110;171098887;CASA VALENTE;1;Clásica; ;Nuevo;12;No;76;Platinum;Capital Federal;Si;No
Juego De Cartas La Macarena Maldón;MLA1110812228;ARS;3330;25;920;478972008;DEMAVISIONCOMERCIALSRL;2;Premium; ;Nuevo;6;No;155;Platinum;Interior;No;Si
Juego De Mesa El Melómano Maldón;MLA924669922;ARS;4730;100;2100;29693465;JUEGOSMALDON;20;Premium;Maldon;Nuevo;6;Si;301;Platinum;Capital Federal;Si;Si
Juego De Cartas El Señor Dix Maldón;MLA930190587;ARS;1060;100;580;29693465;JUEGOSMALDON;25;Premium;Maldon;Nuevo;6;No;260;Platinum;Capital Federal;Si;Si
