ID_Venta;Fecha;Hora;Sucursal;Nombre_Producto;Categoría_Producto;Tamaño;Cantidad;Precio_Unitario;Total_Venta;Método_de_Compra;Método_de_Pago;Cliente_Miembro;Descuento_Miembro;Promoción_Aplicada;Empleado_Atendió;Turno;Demora_Preparación_Min;Satisfacción_Cliente;Stock_Antes;Stock_Después
VTA00001;4/1/2025;08:25;San Lorenzo 25, Nueva Córdoba;Termo Reutilizable;Merchandising;;2;3277.87;6555.74;En tienda;App;Sí;15;Combo;Camila;Noche;13.7;5;23;21
VTA00002;10/1/2025;14:08;Córdoba Shopping;Té Verde en Hebras;Té;;1;1630.18;1630.18;Take Away;Tarjeta;Sí;10;Ninguna;Florencia;Noche;2.3;4;20;19
VTA00003;17/1/2025;15:10;Córdoba Shopping;Moneda de Chocolate;Snacks;;4;879.24;3516.96;En tienda;Tarjeta;No;0;Ninguna;Julián;Tarde;8.8;2;23;19
VTA00004;23/3/2025;07:23;Calle San Lorenzo 47;Espresso Roast;Café en Granos;;5;2230.73;11153.65;Take Away;Tarjeta;Sí;10;Ninguna;Marcos;Noche;3.9;3;19;14
VTA00005;19/3/2025;18:33;Córdoba Shopping;Espresso Roast;Café en Granos;;5;2486.63;12433.15;Delivery;Tarjeta;No;0;Combo;Sofía;Tarde;13.8;5;41;36
VTA00006;2/2/2025;18:10;Calle San Lorenzo 47;Croissant Relleno con Crema de Avellanas;Bakery;;4;981.8;3927.2;Take Away;App;Sí;15;Happy Hour;Marcos;Noche;4.4;4;21;17
VTA00007;9/1/2025;11:58;Calle San Lorenzo 47;Té Chai Latte;Té Caliente;;2;1399.43;2798.86;Delivery;Efectivo;No;0;Ninguna;Sofía;Mañana;5.8;3;38;36
VTA00008;20/2/2025;14:28;Córdoba Shopping;Mocha;Bebida Espresso Caliente;Grande;3;1740.24;5220.72;En tienda;Efectivo;Sí;15;Happy Hour;Camila;Noche;8.9;5;40;37
VTA00009;25/2/2025;13:53;San Lorenzo 25, Nueva Córdoba;Espresso Roast;Café en Granos;;4;2519.29;10077.16;Delivery;App;No;0;Combo;Marcos;Noche;5.0;1;29;25
VTA00010;23/2/2025;13:12;San Lorenzo 25, Nueva Córdoba;Caramel Frappuccino;Frappuccino;Venti;4;1915.53;7662.12;Take Away;App;Sí;15;2x1;Luis;Mañana;14.6;1;29;25
VTA00011;16/2/2025;19:32;San Lorenzo 25, Nueva Córdoba;Skinny Vainilla Latte;Bebida Espresso Caliente;Pequeño;1;1699.89;1699.89;En tienda;Tarjeta;Sí;0;Combo;Camila;Tarde;11.0;2;23;22
VTA00012;26/3/2025;17:28;Avenida Colón 608;Té Verde;Té Caliente;;5;1505.14;7525.7;Delivery;Efectivo;No;0;Happy Hour;Sofía;Tarde;8.2;1;46;41
VTA00013;31/3/2025;19:43;Avenida Colón 608;Vainilla Latte;Bebida Espresso Caliente;Pequeño;4;1692.3;6769.2;Delivery;Efectivo;No;0;Ninguna;Florencia;Mañana;13.8;3;22;18
